City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kill devil hills,36.0307,-75.676,11.66,69,0,4.63,US,1698061595
83,sittwe,20.15,92.9,26.69,82,88,2.8,MM,1698061595
84,katsuura,35.1333,140.3,17.62,63,35,1.35,JP,1698061596
85,qaqortoq,60.7167,-46.0333,2.39,64,94,2.62,GL,1698061597
86,new norfolk,-42.7826,147.0587,12.62,98,46,0.97,AU,1698061597
87,tomesti,47.1167,27.6833,21.74,49,0,3.6,RO,1698061598
88,ta`u,-14.2336,-169.5144,26.6,79,91,4.93,AS,1698061598
89,tura,25.5198,90.2201,21.92,94,95,0.77,IN,1698061599
90,georgetown,5.4112,100.3354,29.99,70,20,3.6,MY,1698061472
91,barra de santo antonio,-9.4047,-35.5072,27.6,66,23,5.37,BR,1698061600
92,caarapo,-22.6342,-54.8222,29.26,39,24,4.99,BR,1698061601
93,ambositra,-20.5167,47.25,27.4,36,87,1.22,MG,1698061601
94,keflavik,64.0049,-22.5624,5.24,81,40,3.09,IS,1698061602
95,constantia,44.1833,28.65,28.38,51,92,2.76,RO,1698061602
96,saint-philippe,-21.3585,55.7679,26.77,77,28,3.33,RE,1698061603
97,kapuskasing,49.4169,-82.4331,-2.0,100,0,2.57,CA,1698061604
98,alofi,-19.0595,-169.9187,22.94,88,40,2.57,NU,1698061604
99,ancud,-41.8697,-73.8203,8.45,82,40,0.79,CL,1698061605
100,inarajan village,13.2736,144.7484,28.54,92,73,7.43,GU,1698061605
101,bafq,31.6128,55.4107,28.59,13,18,2.62,IR,1698061606
102,yellowknife,62.456,-114.3525,-5.88,98,100,8.75,CA,1698061607
103,morki,56.4303,48.9947,0.48,98,100,2.86,RU,1698061608
104,ghanzi,-21.5667,21.7833,36.23,6,0,2.0,BW,1698061608
105,sisimiut,66.9395,-53.6735,-4.46,93,99,2.56,GL,1698061609
106,st. john's,47.5649,-52.7093,7.21,92,75,7.15,CA,1698061391
107,bayanaul,50.7889,75.6956,1.38,46,88,7.28,KZ,1698061610
108,itaituba,-4.2761,-55.9836,25.09,94,75,1.12,BR,1698061611
109,invercargill,-46.4,168.35,10.01,79,100,1.32,NZ,1698061437
110,novyy urengoy,66.0833,76.6333,-1.14,87,99,5.17,RU,1698061612
111,abadeh,31.1608,52.6506,21.32,16,0,4.51,IR,1698061612
112,nanfeng,23.7434,111.7959,23.7,82,53,0.92,CN,1698061613
113,enewetak,11.3474,162.3373,28.75,77,98,5.89,MH,1698061614
114,horsham,51.064,-0.3272,15.11,88,20,3.09,GB,1698061614
115,pangody,65.85,74.4859,-2.14,95,99,3.73,RU,1698061616
116,sola,-13.8833,167.55,25.37,94,100,10.29,VU,1698061616
117,znamenka,52.4167,41.4311,14.96,78,73,6.07,RU,1698061617
118,papatowai,-46.5619,169.4708,8.76,95,100,3.04,NZ,1698061617
119,west island,-12.1568,96.8225,25.99,73,40,4.12,CC,1698061618
120,vernon,50.2581,-119.2691,6.83,89,100,1.03,CA,1698061618
121,lorengau,-2.0226,147.2712,26.77,83,89,2.41,PG,1698061619
122,myanaung,18.2833,95.3167,25.28,89,86,2.03,MM,1698061620
123,kangasniemi,61.9936,26.6479,2.01,76,100,2.27,FI,1698061620
124,kristiansund,63.1115,7.732,9.36,66,75,1.03,NO,1698061621
125,mount pearl,47.5166,-52.7813,6.75,92,75,5.14,CA,1698061622
126,ilulissat,69.2167,-51.1,-5.99,68,40,4.63,GL,1698061623
127,kununurra,-15.7667,128.7333,29.99,45,3,3.09,AU,1698061623
128,nemuro,43.3236,145.575,10.61,64,24,6.76,JP,1698061624
129,touros,-5.1989,-35.4608,29.25,60,100,6.38,BR,1698061624
130,kingsland,30.8,-81.6898,19.39,83,99,2.1,US,1698061625
131,madang,-5.2246,145.7966,25.95,88,44,1.85,PG,1698061625
132,kuanda,56.3161,116.0806,-2.26,78,24,0.23,RU,1698061626
133,monrovia,6.3005,-10.7969,29.87,71,25,3.14,LR,1698061627
134,rathdrum,47.8137,-116.892,6.79,94,0,1.54,US,1698061627
135,talara,-4.5772,-81.2719,21.72,81,68,6.86,PE,1698061628
136,bu'aale,1.0833,42.5833,38.32,28,44,1.97,SO,1698061628
137,tynda,55.1667,124.7167,-6.77,95,85,0.68,RU,1698061629
138,amga,60.8953,131.9608,-5.14,98,100,1.28,RU,1698061630
139,timbuktu,16.7735,-3.0074,39.47,8,54,4.66,ML,1698061630
140,beira,-19.8436,34.8389,29.05,74,75,7.2,MZ,1698061631
141,rada tilly,-45.9333,-67.5333,9.27,71,75,1.54,AR,1698061631
142,bel ombre,-4.6167,55.4167,29.91,70,20,3.09,SC,1698061632
143,paka,4.6374,103.4368,29.99,70,20,1.03,MY,1698061633
144,nakasongola,1.3089,32.4564,27.06,60,75,0.51,UG,1698061633
145,ilovays'k,47.925,38.2024,24.1,39,61,6.97,UA,1698061634
146,utrik,11.2278,169.8474,28.03,77,100,7.78,MH,1698061634
147,aasiaat,68.7098,-52.8699,-8.17,95,100,3.79,GL,1698061635
148,hotan,37.0997,79.9269,18.26,15,2,4.42,CN,1698061636
149,puerto natales,-51.7236,-72.4875,5.39,81,39,0.75,CL,1698061636
150,sandnessjoen,66.0217,12.6316,8.06,53,0,1.54,NO,1698061637
151,zeya,53.75,127.2667,0.32,65,96,1.44,RU,1698061637
152,aswan,24.0934,32.907,38.61,15,0,3.6,EG,1698061638
153,tual,-5.6667,132.75,27.27,76,38,7.22,ID,1698061639
154,san luis de la loma,17.2706,-100.8939,24.21,85,93,1.71,MX,1698061639
155,kuala kedah,6.1,100.3,29.99,70,20,1.03,MY,1698061640
156,fortuna,40.5982,-124.1573,13.85,97,100,3.09,US,1698061640
157,nyrob,60.733,56.7202,-0.41,90,99,3.85,RU,1698061641
158,gadzhiyevo,69.2551,33.3362,1.96,61,95,6.19,RU,1698061642
159,pangyan,5.7008,125.2811,27.7,77,27,1.51,PH,1698061643
160,las vegas,36.175,-115.1372,19.38,41,0,8.23,US,1698061053
161,pasni,25.2631,63.471,27.43,74,2,6.77,PK,1698061644
162,bikenibeu village,1.3673,173.1241,26.98,89,75,0.51,KI,1698061644
163,jiaojiang,28.6803,121.4428,20.32,76,94,1.12,CN,1698061645
164,taoudenni,22.6783,-3.9836,38.37,13,91,1.55,ML,1698061646
165,tongchuanshi,35.0806,109.0897,16.08,63,1,0.35,CN,1698061646
166,queenstown,-31.8976,26.8753,25.93,23,76,8.04,ZA,1698061647
167,tolanaro,-25.0319,46.9987,29.04,65,40,5.14,MG,1698061647
168,weno,7.4515,151.8468,25.97,100,75,1.54,FM,1698061648
169,beau vallon,-20.4189,57.6953,29.13,61,40,8.23,MU,1698061649
170,zhalantun,48.0,122.7167,9.88,40,43,2.81,CN,1698061650
171,ponnani,10.767,75.9252,28.62,74,75,2.56,IN,1698061650
172,iskateley,67.6803,53.1512,-4.71,82,86,3.69,RU,1698061651
173,thompson,55.7435,-97.8558,-5.91,86,75,1.54,CA,1698061652
174,tvoroyri,61.5556,-6.8111,8.86,75,100,6.88,FO,1698061652
175,lukovit,43.2,24.1667,24.7,32,61,2.86,BG,1698061653
176,hadibu,12.65,54.0333,28.9,69,100,1.59,YE,1698061653
177,castillos,-34.1667,-53.8333,19.54,97,100,1.58,UY,1698061654
178,nueva loja,0.0847,-76.8828,21.99,93,73,0.6,EC,1698061655
179,portland,45.5234,-122.6762,13.23,92,100,0.45,US,1698061460
180,tomatlan,19.9333,-105.25,23.45,87,94,1.2,MX,1698061656
181,chonchi,-42.6128,-73.8092,8.4,83,62,1.1,CL,1698061657
182,mount isa,-20.7333,139.5,24.87,23,0,1.54,AU,1698061657
183,nabire,-3.3667,135.4833,25.95,87,63,1.47,ID,1698061658
184,isangel,-19.55,169.2667,22.89,83,100,6.53,VU,1698061659
185,archangelos,36.2149,28.1149,26.99,43,44,1.17,GR,1698061659
186,papao,-17.75,-149.55,25.82,78,13,6.29,PF,1698061660
187,nazyvayevsk,55.5698,71.3529,0.05,64,97,6.84,RU,1698061660
188,xining,36.6167,101.7667,10.37,31,0,1.75,CN,1698061661
189,colonia,50.9333,6.95,13.87,83,0,2.57,DE,1698061444
190,red bluff,40.1785,-122.2358,14.73,94,0,2.57,US,1698061662
191,isafjordur,66.0755,-23.124,3.02,87,75,0.0,IS,1698061663
192,olinda,-8.0089,-34.8553,28.85,61,75,6.17,BR,1698061526
193,kitimat,54.0524,-128.6534,4.21,63,100,0.65,CA,1698061664
194,turpan,42.9333,89.1667,19.89,19,26,2.25,CN,1698061665
195,lycksele,64.5954,18.6735,-3.07,80,75,3.6,SE,1698061666
196,port mathurin,-19.6833,63.4167,25.03,79,12,5.29,MU,1698061666
197,shimoda,34.6667,138.95,13.39,64,1,1.38,JP,1698061667
198,jolo,6.05,121.0167,26.35,85,84,0.26,PH,1698061667
199,san antonio de pale,-1.4014,5.6325,26.05,83,97,6.72,GQ,1698061668
200,lodja,-3.4833,23.4333,31.69,53,97,0.55,CD,1698061669
201,nynashamn,58.9034,17.9479,6.76,83,100,3.57,SE,1698061669
202,curumani,9.1999,-73.5427,26.21,79,92,0.66,CO,1698061670
203,gisborne,-38.6533,178.0042,10.39,74,29,2.26,NZ,1698061671
204,filingue,14.3521,3.3168,38.43,8,5,5.75,NE,1698061671
205,tsiombe,-25.3,45.4833,30.41,33,36,8.29,MG,1698061672
206,inari,68.906,27.0288,-0.89,84,29,1.6,FI,1698061672
207,griffith,41.5284,-87.4237,7.72,88,0,3.09,US,1698061673
208,vorgashor,67.5833,63.95,-9.97,93,77,2.97,RU,1698061673
209,fort mcmurray,56.7268,-111.381,-11.23,79,0,3.6,CA,1698061674
210,grenville,12.1167,-61.6167,28.03,77,20,2.84,GD,1698061675
211,whitehorse,60.7161,-135.0538,-8.57,57,100,3.09,CA,1698061675
212,mont-joli,48.5839,-68.1921,5.72,81,75,4.12,CA,1698061676
213,kibre mengist,5.8833,38.9833,22.07,66,75,2.74,ET,1698061676
214,talnakh,69.4865,88.3972,-5.44,85,97,2.21,RU,1698061677
215,mohr,54.3528,9.7167,13.25,82,75,3.6,DE,1698061678
216,udachny,66.4167,112.4,-9.11,97,95,0.58,RU,1698061678
217,mana,5.6592,-53.7767,27.49,83,90,3.27,GF,1698061679
218,fale old settlement,-9.3852,-171.2468,28.36,74,8,4.87,TK,1698061680
219,margaret river,-33.95,115.0667,12.22,63,73,5.49,AU,1698061668
220,dryden,49.7833,-92.7503,8.16,100,100,3.09,CA,1698061422
221,zhaqsy,51.9083,67.3133,0.73,59,74,6.5,KZ,1698061681
222,peace river,56.2501,-117.286,-7.83,99,100,1.54,CA,1698061682
223,yuzhno-kurilsk,44.0306,145.8556,10.51,63,71,7.64,RU,1698061683
224,nagqu,31.5,92.0,-0.08,50,82,3.12,CN,1698061684
225,urengoy,65.9667,78.3667,-1.54,77,93,4.71,RU,1698061684
226,acarau,-2.8856,-40.12,27.97,63,100,7.41,BR,1698061685
227,lata,40.1629,-8.3327,13.93,76,97,3.59,PT,1698061686
228,kudahuvadhoo,2.6708,72.8944,27.83,70,89,3.37,MV,1698061686
229,pathein,16.7833,94.7333,25.48,90,84,2.82,MM,1698061687
230,tapioszentmarton,47.3399,19.7465,21.51,58,43,2.59,HU,1698061688
231,okhotsk,59.3833,143.3,-7.67,78,41,5.91,RU,1698061688
232,keningau,5.3378,116.1602,23.2,97,55,0.86,MY,1698061689
233,kandahar,31.0,65.75,24.76,12,0,8.43,AF,1698061690
234,aioun,16.6614,-9.6149,32.52,30,100,5.16,MR,1698061690
235,antsiranana,-12.2787,49.2917,31.42,42,40,5.14,MG,1698061441
236,kralendijk,12.15,-68.2667,26.99,89,100,1.03,BQ,1698061691
237,burang,30.25,81.1667,0.21,65,84,3.58,CN,1698061692
238,benguela,-12.5763,13.4055,27.7,69,55,5.54,AO,1698061693
239,ingeniero jacobacci,-41.3427,-69.5448,10.98,72,100,5.45,AR,1698061693
240,gombi,10.1614,12.7399,36.14,13,32,3.06,NG,1698061694
241,fisterra,42.9049,-9.2629,15.97,66,16,3.96,ES,1698061695
242,princeville,45.7668,-61.2985,8.62,95,100,2.24,CA,1698061695
243,hailey,43.5196,-114.3153,9.33,76,100,2.24,US,1698061594
244,antonio enes,-16.2325,39.9086,29.68,63,94,8.76,MZ,1698061696
245,luderitz,-26.6481,15.1594,20.68,64,0,5.54,NA,1698061697
246,cockburn town,21.4612,-71.1419,26.98,78,40,2.06,TC,1698061697
247,maitum,6.0392,124.4986,26.88,81,40,1.28,PH,1698061698
248,jilib,0.4883,42.7854,35.04,38,50,6.2,SO,1698061699
249,korla,41.7597,86.1469,16.37,24,23,3.14,CN,1698061699
250,la ronge,55.1001,-105.2842,-4.86,63,40,4.63,CA,1698061700
251,ola,59.5833,151.2833,-0.04,89,99,4.94,RU,1698061700
252,nar'yan-mar,67.6713,53.087,-4.5,83,87,3.71,RU,1698061701
253,maracay,10.2469,-67.5958,22.86,86,86,0.63,VE,1698061702
254,minas de marcona,-15.2119,-75.1103,14.81,90,97,4.75,PE,1698061702
255,ust-tsilma,65.441,52.1498,0.57,75,100,5.7,RU,1698061703
256,yemel'yanovo,56.1681,92.6767,7.45,70,40,7.0,RU,1698061703
257,tatarbunary,45.8373,29.6142,24.7,34,94,4.13,UA,1698061704
258,vilhena,-12.7406,-60.1458,31.84,33,64,2.09,BR,1698061705
259,grootfontein,-19.5667,18.1167,34.76,8,0,3.6,NA,1698061705
260,carnarvon,-24.8667,113.6333,21.41,65,18,9.54,AU,1698061706
261,kaka,37.3482,59.6143,23.24,35,0,3.08,TM,1698061707
262,kavaratti,10.5669,72.642,29.04,64,96,2.17,IN,1698061708
263,codrington,-38.2667,141.9667,12.43,53,100,3.99,AU,1698061708
264,kostomuksha,64.571,30.5767,-1.03,76,26,2.46,RU,1698061709
265,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,87,40,1.0,RU,1698061709
266,halifax,44.6453,-63.5724,9.0,94,75,6.69,CA,1698061309
267,donauworth,48.7,10.8,14.23,61,91,3.99,DE,1698061711
268,ulladulla,-35.35,150.4667,12.09,78,0,2.2,AU,1698061712
269,newport,51.5877,-2.9984,16.01,88,100,7.48,GB,1698061659
270,thames,-37.1333,175.5333,11.89,93,68,2.36,NZ,1698061714
271,tougue,11.4667,-11.6,27.8,59,33,1.66,GN,1698061714
272,buala,-8.145,159.5921,26.55,84,95,1.57,SB,1698061715
273,hithadhoo,-0.6,73.0833,27.35,71,64,3.93,MV,1698061715
274,lampang,18.3333,99.5,26.95,89,20,1.03,TH,1698061717
275,kodiak,57.79,-152.4072,1.73,55,0,0.0,US,1698061717
276,ostersund,63.1792,14.6357,2.25,100,100,3.13,SE,1698061719
277,dudinka,69.4058,86.1778,-5.21,95,79,2.48,RU,1698061720
278,waddan,29.1614,16.139,34.29,17,2,1.88,LY,1698061720
279,kichmengskiy gorodok,59.9816,45.7854,1.46,75,23,0.66,RU,1698061721
280,kumbo,6.2,10.6667,22.12,65,98,2.68,CM,1698061722
281,opuwo,-18.0607,13.84,35.06,6,4,2.99,NA,1698061722
282,merizo village,13.2658,144.6691,28.31,92,81,7.32,GU,1698061723
283,birao,10.2849,22.7882,37.07,24,34,2.88,CF,1698061723
284,haiku-pauwela,20.9219,-156.3051,23.91,87,75,4.12,US,1698061724
285,selfoss,63.9331,-20.9971,1.69,65,10,1.86,IS,1698061724
286,dunedin,-45.8742,170.5036,11.0,92,100,2.68,NZ,1698061725
287,rikaze,29.25,88.8833,8.5,15,25,0.67,CN,1698061726
288,susuman,62.7833,148.1667,-15.25,99,100,0.67,RU,1698061726
289,baruun-urt,46.6806,113.2792,5.73,49,5,1.15,MN,1698061727
290,kajaani,64.2273,27.7285,-1.97,86,100,4.12,FI,1698061727
291,barakani,-12.1356,44.4317,27.24,67,16,5.47,KM,1698061728
292,santa cruz,-17.8,-63.1667,28.7,54,55,7.72,BO,1698061503
293,dhangadhi,28.7079,80.5961,22.91,50,3,1.08,NP,1698061729
294,callao,-12.0667,-77.15,20.4,82,100,4.63,PE,1698061730
295,karukh,34.4811,62.5863,18.69,30,5,6.99,AF,1698061730
296,kalpi,26.1167,79.7333,27.97,30,0,1.77,IN,1698061731
297,arkhangel'sk,64.5401,40.5433,1.86,70,74,4.21,RU,1698061731
298,puerto baquerizo moreno,-0.9,-89.6,23.48,83,89,6.01,EC,1698061733
299,revda,56.801,59.9303,-0.22,79,99,4.79,RU,1698061733
300,morgan city,29.6994,-91.2068,17.0,100,100,2.06,US,1698061734
301,laminusa,5.5549,120.9136,28.89,71,45,1.13,PH,1698061735
